CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos cirúrgicos: Cirurgia geral
Período:Mar/2020-Abr/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr"
"110001 Alta Floresta D'Oeste";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"110034 Alvorada D'Oeste";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"110002 Ariquemes";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"110045 Buritis";8;8;8;8;8;8;1;1;1;1;1;1;1;1
"110004 Cacoal";24;24;24;24;24;24;24;24;24;24;24;24;24;24
"110005 Cerejeiras";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"110006 Colorado do Oeste";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"110008 Costa Marques";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"110009 Espigão D'Oeste";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"110100 Governador Jorge Teixeira";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"110010 Guajará-Mirim";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"110011 Jaru";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"110012 Ji-Paraná";30;30;30;30;30;30;30;30;30;30;30;30;30;30
"110013 Machadinho D'Oeste";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"110130 Mirante da Serra";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"110140 Monte Negro";6;6;6;6;6;6;4;4;4;4;4;4;4;4
"110014 Nova Brasilândia D'Oeste";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"110033 Nova Mamoré";-;9;9;9;9;9;9;9;9;9;9;9;9;9
"110015 Ouro Preto do Oeste";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"110018 Pimenta Bueno";5;5;5;5;5;5;5;5;5;5;2;2;2;2
"110020 Porto Velho";94;94;93;93;93;93;93;93;93;93;75;93;93;93
"110025 Presidente Médici";10;10;10;10;10;10;10;5;5;5;5;5;5;5
"110028 Rolim de Moura";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"110029 Santa Luzia D'Oeste";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"110149 São Francisco do Guaporé";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"110032 São Miguel do Guaporé";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"110150 Seringueiras";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"110030 Vilhena";18;18;18;18;18;18;18;18;18;18;18;18;18;18
"120010 Brasiléia";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"120020 Cruzeiro do Sul";38;46;46;46;46;38;38;38;38;38;37;18;18;18
"120030 Feijó";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"120040 Rio Branco";105;105;105;105;105;105;105;105;105;105;105;105;105;105
"120050 Sena Madureira";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"120045 Senador Guiomard";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"120060 Tarauacá";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"130002 Alvarães";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"130006 Amaturá";6;6;6;6;6;6;6;6;6;6;6;6;3;3
"130008 Anamã";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"130010 Anori";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"130014 Apuí";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"130020 Atalaia do Norte";7;7;7;1;1;-;-;-;-;-;-;-;-;-
"130030 Autazes";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"130040 Barcelos";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"130050 Barreirinha";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"130060 Benjamin Constant";2;2;2;2;2;2;2;2;2;2;2;2;2;5
"130063 Beruri";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"130068 Boa Vista do Ramos";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"130070 Boca do Acre";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"130080 Borba";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"130083 Caapiranga";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"130090 Canutama";-;-;-;-;-;-;-;-;-;3;3;3;3;3
"130100 Carauari";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"130110 Careiro";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"130120 Coari";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"130130 Codajás";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"130140 Eirunepé";11;11;11;11;11;10;10;10;10;10;10;10;10;10
"130150 Envira";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"130160 Fonte Boa";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"130165 Guajará";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"130170 Humaitá";10;4;4;4;4;4;4;4;4;4;4;4;4;4
"130180 Ipixuna";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"130185 Iranduba";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"130190 Itacoatiara";20;20;20;20;20;20;20;20;20;20;20;20;20;20
"130195 Itamarati";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"130200 Itapiranga";3;3;3;3;3;3;3;3;3;3;3;3;3;3
