codibge;Nome Município;IDH;;;;;;
110001;Alta Floresta D'Oeste (RO);0,640;;;;;;
110002;Ariquemes (RO);0,700;;;;;;
110003;Cabixi (RO);0,650;;;;;;
110004;Cacoal (RO);0,720;;;;;;
110005;Cerejeiras (RO);0,690;;;;;;
110006;Colorado do Oeste (RO);0,690;;;;;;
110007;Corumbiara (RO);0,610;;;;;;
110008;Costa Marques (RO);0,610;;;;;;
110009;Espigão D'Oeste (RO);0,670;;;;;;
110010;Guajará-Mirim (RO);0,660;;;;;;
110011;Jaru (RO);0,690;;;;;;
110012;Ji-Paraná (RO);0,710;;;;;;
110013;Machadinho D'Oeste (RO);0,600;;;;;;
110014;Nova Brasilândia D'Oeste (RO);0,640;;;;;;
110015;Ouro Preto do Oeste (RO);0,680;;;;;;
110018;Pimenta Bueno (RO);0,710;;;;;;
110020;Porto Velho (RO);0,740;;;;;;
110025;Presidente Médici (RO);0,660;;;;;;
110026;Rio Crespo (RO);0,640;;;;;;
110028;Rolim de Moura (RO);0,700;;;;;;
110029;Santa Luzia D'Oeste (RO);0,670;;;;;;
110030;Vilhena (RO);0,730;;;;;;
110032;São Miguel do Guaporé (RO);0,650;;;;;;
110033;Nova Mamoré (RO);0,590;;;;;;
110034;Alvorada D'Oeste (RO);0,640;;;;;;
110037;Alto Alegre dos Parecis (RO);0,590;;;;;;
110040;Alto Paraíso (RO);0,630;;;;;;
110045;Buritis (RO);0,620;;;;;;
110050;Novo Horizonte do Oeste (RO);0,630;;;;;;
110060;Cacaulândia (RO);0,650;;;;;;
110070;Campo Novo de Rondônia (RO);0,590;;;;;;
110080;Candeias do Jamari (RO);0,650;;;;;;
110090;Castanheiras (RO);0,660;;;;;;
110092;Chupinguaia (RO);0,650;;;;;;
110094;Cujubim (RO);0,610;;;;;;
110100;Governador Jorge Teixeira (RO);0,600;;;;;;
110110;Itapuã do Oeste (RO);0,610;;;;;;
110120;Ministro Andreazza (RO);0,640;;;;;;
110130;Mirante da Serra (RO);0,640;;;;;;
110140;Monte Negro (RO);0,610;;;;;;
110143;Nova União (RO);0,590;;;;;;
110145;Parecis (RO);0,620;;;;;;
110146;Pimenteiras do Oeste (RO);0,670;;;;;;
110147;Primavera de Rondônia (RO);0,640;;;;;;
110148;São Felipe D'Oeste (RO);0,650;;;;;;
110149;São Francisco do Guaporé (RO);0,610;;;;;;
110150;Seringueiras (RO);0,600;;;;;;
110155;Teixeirópolis (RO);0,640;;;;;;
110160;Theobroma (RO);0,590;;;;;;
110170;Urupá (RO);0,610;;;;;;
110175;Vale do Anari (RO);0,580;;;;;;
110180;Vale do Paraíso (RO);0,630;;;;;;
120001;Acrelândia (AC);0,600;;;;;;
120005;Assis Brasil (AC);0,590;;;;;;
120010;Brasiléia (AC);0,610;;;;;;
120013;Bujari (AC);0,590;;;;;;
120017;Capixaba (AC);0,580;;;;;;
120020;Cruzeiro do Sul (AC);0,660;;;;;;
