 Procedimentos hospitalares do SUS - por gestor - Brasil
AIH aprovadasInternaçõesValor totalDias permanênciaÓbitos por Município gestor
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Abr/2020-Mar/2021
"Município gestor";"AIH_aprovadas";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"110001 Alta Floresta D'Oeste";189;189;283500,00;714;14
"110037 Alto Alegre dos Parecis";63;63;94500,00;241;2
"110040 Alto Paraíso";60;60;90071,99;189;3
"110002 Ariquemes";1120;1120;6322344,45;6796;316
"110003 Cabixi";36;36;54000,00;132;2
"110004 Cacoal";1;1;1532,00;4;-
"110070 Campo Novo de Rondônia";5;5;7500,00;14;-
"110005 Cerejeiras";61;61;91556,00;235;4
"110006 Colorado do Oeste";64;64;96000,00;283;2
"110094 Cujubim";78;78;117000,00;-;4
"110009 Espigão D'Oeste";59;59;90228,40;212;4
"110010 Guajará-Mirim";379;379;570876,80;2223;41
"110110 Itapuã do Oeste";13;13;19548,00;17;-
"110011 Jaru";676;676;1762106,91;3292;53
"110012 Ji-Paraná";768;768;1329948,00;3758;45
"110013 Machadinho D'Oeste";153;153;229715,93;668;29
"110120 Ministro Andreazza";20;20;30000,00;79;-
"110130 Mirante da Serra";24;24;36000,00;117;1
"110140 Monte Negro";28;28;42120,00;100;1
"110014 Nova Brasilândia D'Oeste";72;72;108000,00;288;3
"110033 Nova Mamoré";169;169;255321,69;767;15
"110143 Nova União";39;39;58500,00;98;-
"110050 Novo Horizonte do Oeste";43;43;64531,58;152;6
"110015 Ouro Preto do Oeste";75;75;114203,99;241;3
"110018 Pimenta Bueno";153;153;263672,38;629;17
"110146 Pimenteiras do Oeste";23;23;34620,00;80;-
"110020 Porto Velho";311;311;466500,00;493;15
"110025 Presidente Médici";84;84;126296,00;414;12
"110028 Rolim de Moura";187;187;281814,80;691;8
"110029 Santa Luzia D'Oeste";44;44;66120,00;198;1
"110032 São Miguel do Guaporé";73;73;110772,00;194;5
"110150 Seringueiras";5;5;7536,00;19;1
"110155 Teixeirópolis";13;13;19500,00;50;-
"110170 Urupá";19;19;28500,00;51;1
