COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;LAT;LNG;POP_EST_2020;CAPITAL;NOME_ANTIGO_OU_GRAFIA_DIFERENTE;ALT;REGIAO;COD_UE_TSE_2016;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1200000;NULL;Estado do Acre;ESTADO DO ACRE;AC;Acre;NULL;NULL;894470;NULL;NULL;NULL;N;NULL;0,663;0,671;0,777;0,559
2700000;NULL;Estado de Alagoas;ESTADO DE ALAGOAS;AL;Alagoas;NULL;NULL;3351543;NULL;NULL;NULL;NE;NULL;0,631;0,641;0,755;0,52
1300000;NULL;Estado do Amazonas;ESTADO DO AMAZONAS;AM;Amazonas;NULL;NULL;4207714;NULL;NULL;NULL;N;NULL;0,674;0,677;0,805;0,561
1600000;NULL;Estado do Amapá;ESTADO DO AMAPA;AP;Amapá;NULL;NULL;861773;NULL;NULL;NULL;N;NULL;0,708;0,694;0,813;0,629
2900000;NULL;Estado da Bahia;ESTADO DA BAHIA;BA;Bahia;NULL;NULL;14930634;NULL;NULL;NULL;NE;NULL;0,66;0,663;0,783;0,555
2300000;NULL;Estado do Ceará;ESTADO DO CEARA;CE;Ceará;NULL;NULL;9187103;NULL;NULL;NULL;NE;NULL;0,682;0,651;0,793;0,615
5300000;NULL;Distrito Federal;DISTRITO FEDERAL;DF;Distrito Federal;NULL;NULL;3055149;NULL;NULL;NULL;CO;NULL;0,824;0,863;0,873;0,742
3200000;NULL;Estado do Espírito Santo;ESTADO DO ESPIRITO SANTO;ES;Espírito Santo;NULL;NULL;4064052;NULL;NULL;NULL;SE;NULL;0,74;0,743;0,835;0,653
5200000;NULL;Estado de Goiás;ESTADO DE GOIAS;GO;Goiás;NULL;NULL;7113540;NULL;NULL;NULL;CO;NULL;0,735;0,742;0,827;0,646
2100000;NULL;Estado do Maranhão;ESTADO DO MARANHAO;MA;Maranhão;NULL;NULL;7114598;NULL;NULL;NULL;NE;NULL;0,639;0,612;0,757;0,562
3100000;NULL;Estado de Minas Gerais;ESTADO DE MINAS GERAIS;MG;Minas Gerais;NULL;NULL;21292666;NULL;NULL;NULL;SE;NULL;0,731;0,73;0,838;0,638
5000000;NULL;Estado do Mato Grosso do Sul;ESTADO DO MATO GROSSO DO SUL;MS;Mato Grosso do Sul;NULL;NULL;2809394;NULL;NULL;NULL;CO;NULL;0,729;0,74;0,833;0,629
