CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil;
Quantidade SUS por Município e Ano/mês compet.;
Leitos cirúrgicos: Cirurgia geral;
Período:Mar/2020-Abr/2021;
Município;qnt_leitos
110001 Alta Floresta D'Oeste;6
110034 Alvorada D'Oeste;3
110002 Ariquemes;15
110045 Buritis;1
110004 Cacoal;24
110005 Cerejeiras;5
110006 Colorado do Oeste;7
110008 Costa Marques;4
110009 Espigão D'Oeste;4
110100 Governador Jorge Teixeira;2
110010 Guajará-Mirim;4
110011 Jaru;4
110012 Ji-Paraná;30
110013 Machadinho D'Oeste;5
110130 Mirante da Serra;2
110140 Monte Negro;4
110014 Nova Brasilândia D'Oeste;5
110033 Nova Mamoré;9
110015 Ouro Preto do Oeste;10
110018 Pimenta Bueno;2
110020 Porto Velho;93
110025 Presidente Médici;5
110028 Rolim de Moura;3
110029 Santa Luzia D'Oeste;3
110149 São Francisco do Guaporé;1
110032 São Miguel do Guaporé;9
110150 Seringueiras;4
110030 Vilhena;18
120010 Brasiléia;4
120020 Cruzeiro do Sul;18
120030 Feijó;6
120040 Rio Branco;105
120050 Sena Madureira;2
120045 Senador Guiomard;9
120060 Tarauacá;4
130002 Alvarães;2
130006 Amaturá;3
130008 Anamã;6
130010 Anori;5
130014 Apuí;8
130020 Atalaia do Norte;-
130030 Autazes;3
130040 Barcelos;4
130050 Barreirinha;6
130060 Benjamin Constant;5
130063 Beruri;1
130068 Boa Vista do Ramos;2
130070 Boca do Acre;2
130080 Borba;8
130083 Caapiranga;3
130090 Canutama;3
130100 Carauari;6
130110 Careiro;4
130120 Coari;10
130130 Codajás;10
130140 Eirunepé;10
130150 Envira;1
130160 Fonte Boa;6
130165 Guajará;6
130170 Humaitá;4
130180 Ipixuna;3
130185 Iranduba;15
130190 Itacoatiara;20
130195 Itamarati;4
130200 Itapiranga;3
130210 Japurá;2
130220 Juruá;3
130230 Jutaí;2
130240 Lábrea;8
130250 Manacapuru;12
130255 Manaquiri;2
130260 Manaus;283
130270 Manicoré;4
130280 Maraã;4
130290 Maués;15
130300 Nhamundá;2
130310 Nova Olinda do Norte;4
130320 Novo Airão;4
130330 Novo Aripuanã;4
130340 Parintins;19
130350 Pauini;4
130353 Presidente Figueiredo;3
130356 Rio Preto da Eva;6
130360 Santa Isabel do Rio Negro;2
130370 Santo Antônio do Içá;2
130380 São Gabriel da Cachoeira;8
130390 São Paulo de Olivença;6
130395 São Sebastião do Uatumã;3
130400 Silves;5
130406 Tabatinga;12
130410 Tapauá;2
130420 Tefé;12
130423 Tonantins;5
130426 Uarini;2
130430 Urucará;3
130440 Urucurituba;8
140010 Boa Vista;49
140020 Caracaraí;4
140047 Rorainópolis;2
150010 Abaetetuba;64
150013 Abel Figueiredo;2
150020 Acará;5
150030 Afuá;3
150034 Água Azul do Norte;8
150040 Alenquer;20
150050 Almeirim;15
150060 Altamira;20
150070 Anajás;2
150080 Ananindeua;90
150085 Anapu;7
150090 Augusto Corrêa;10
150095 Aurora do Pará;14
150110 Bagre;2
150120 Baião;6
150130 Barcarena;10
150140 Belém;204
150145 Belterra;1
150157 Bom Jesus do Tocantins;6
150170 Bragança;38
150172 Brasil Novo;4
150175 Brejo Grande do Araguaia;5
150178 Breu Branco;10
150180 Breves;34
150190 Bujaru;10
150200 Cachoeira do Arari;2
150210 Cametá;32
150215 Canaã dos Carajás;12
150220 Capanema;38
150230 Capitão Poço;5
150240 Castanhal;40
150270 Conceição do Araguaia;19
150275 Concórdia do Pará;3
150276 Cumaru do Norte;2
150280 Curralinho;5
150290 Curuçá;5
150293 Dom Eliseu;17
150295 Eldorado do Carajás;8
150300 Faro;1
150304 Floresta do Araguaia;2
150307 Garrafão do Norte;4
150309 Goianésia do Pará;2
150310 Gurupá;1
150320 Igarapé-Açu;10
150330 Igarapé-Miri;26
150345 Ipixuna do Pará;32
150360 Itaituba;23
150370 Itupiranga;13
150375 Jacareacanga;4
150380 Jacundá;4
150390 Juruti;13
150400 Limoeiro do Ajuru;3
150405 Mãe do Rio;2
150420 Marabá;47
